institution,country
"Queens College, City University of New York",USA
Murdoch University,Australia
Chosun University,South Korea
Vilnius University,Lithuania
University of Maribor,Slovenia
Ritsumeikan University,Japan
University of Sassari,Italy
Nanjing Normal University,China
University of Franche-Comté,France
University of Texas at El Paso,USA
Rio de Janeiro State University,Brazil
Jinan University,China
University of Massachusetts Boston,USA
University of Alcalá,Spain
Tehran University of Medical Sciences,Iran
University of the Ryukyus,Japan
University of Angers,France
Fluminense Federal University,Brazil
Florida Institute of Technology,USA
Trent University,Canada
National Chung Cheng University,Taiwan
Bilkent University,Turkey
National Taiwan Normal University,Taiwan
Saitama University,Japan
RMIT University,Australia
Hamamatsu University School of Medicine,Japan
University of Greifswald,Germany
University of Pécs,Hungary
University of Fukui,Japan
Oakland University,USA
Nanjing University of Technology,China
"University of Technology, Sydney",Australia
University of North Carolina at Greensboro,USA
"All India Institute of Medical Sciences, New Delhi",India
Kyoto Institute of Technology,Japan
Ocean University of China,China
Chiang Mai University,Thailand
University of Camerino,Italy
Hirosaki University,Japan
University of North Dakota,USA
University of Extremadura,Spain
Teikyo University,Japan
Jiangnan University,China
Adam Mickiewicz University in Poznań,Poland
University of Waikato,New Zealand
University of Veterinary Medicine Vienna,Austria
University of Cádiz,Spain
Florida Atlantic University,USA
Huazhong Agricultural University,China
Brock University,Canada
University of Lleida,Spain
Shanghai Normal University,China
Jean Monnet University,France
Shimane University,Japan
University of Orléans,France
University of Siegen,Germany
Makerere University,Uganda
"University of Wales, Trinity Saint David",United Kingdom
National Taiwan University of Science and Technology,Taiwan
University of Brasília,Brazil
University of Western Brittany,France
Nanjing Agricultural University,China
National University of Córdoba,Argentina
Federal University of Santa Catarina,Brazil
National Taiwan Ocean University,Taiwan
Gazi University,Turkey
National University of Colombia,Colombia
University of Jaén,Spain
Boğaziçi University,Turkey
Jadavpur University,India
Pukyong National University,South Korea
University of Western Sydney,Australia
Northeastern University (China),China
University of Mannheim,Germany
University of Osnabrück,Germany
Charles Darwin University,Australia
University of Hyderabad,India
Northwest University (China),China
University of Southern Mississippi,USA
University of Wrocław,Poland
Carlos III University of Madrid,Spain
Novosibirsk State University,Russia
Nanjing Medical University,China
Nicolaus Copernicus University in Toruń,Poland
Federal University of Santa Maria,Brazil
Chemnitz University of Technology,Germany
Southwest University,China
Wrocław University of Technology,Poland
"University of California, Merced",USA
United Arab Emirates University,United Arab Emirates
Federal University of São Carlos,Brazil
University of Thessaly,Greece
University of Basilicata,Italy
Feng Chia University,Taiwan
Federal University of Paraná,Brazil
University of Almería,Spain
Hallym University,South Korea
Fourth Military Medical University,China
University of the Republic (Uruguay),Uruguay
Dokuz Eylül University,Turkey
Nanjing University of Aeronautics and Astronautics,China
Public University of Navarre,Spain
University of A Coruña,Spain
Isfahan University of Technology,Iran
University of New England (Australia),Australia
Federal University of Pernambuco,Brazil
Jiangsu University,China
Third Military Medical University,China
South China Normal University,China
University of Limerick,Ireland
Xiangtan University,China
Yangzhou University,China
Northwestern Polytechnical University,China
University of Reims Champagne-Ardenne,France
Ibaraki University,Japan
Chung Shan Medical University,Taiwan
Alexandria University,Egypt
Yuan Ze University,Taiwan
University of Cyprus,Cyprus
University of Silesia,Poland
Southern Medical University,China
Shiraz University,Iran
University of Bucharest,Romania
Mansoura University,Egypt
Amirkabir University of Technology,Iran
Beijing Jiaotong University,China
University of Valenciennes and Hainaut-Cambresis,France
University of the Algarve,Portugal
"University of Chemistry and Technology, Prague",Czech Republic
Federal University of Ceará,Brazil
Ain Shams University,Egypt
University of Oldenburg,Germany
Federal University of Bahia,Brazil
Hunan Normal University,China
Western Michigan University,USA
University of Seoul,South Korea
Federico Santa María Technical University,Chile
Ryerson University,Canada
South China Agricultural University,China
Fu Jen Catholic University,Taiwan
China Pharmaceutical University,China
Tarbiat Modares University,Iran
University of Puerto Rico at Mayagüez,Puerto Rico
National University of Rosario,Argentina
University of Pau and Pays de l'Adour,France
Xidian University,China
Zhejiang University of Technology,China
China Medical University (PRC),China
Federal University of ABC,Brazil
King Juan Carlos University,Spain
Beijing University of Technology,China
Guangxi University,China
Northwest A&F University,China
Shanxi University,China
Tamkang University,Taiwan
Harbin Medical University,China
Zhejiang Normal University,China
King Abdulaziz University,Saudi Arabia
Iran University of Science and Technology,Iran
I-Shou University,Taiwan
University of Maine (Le Mans),France
National Dong Hwa University,Taiwan
National Taipei University of Technology,Taiwan
Shaanxi Normal University,China
National University of Defense Technology,China
Yanbian University,China
Harvard University,USA
Stanford University,USA
Massachusetts Institute of Technology,USA
University of Cambridge,United Kingdom
University of Oxford,United Kingdom
Columbia University,USA
"University of California, Berkeley",USA
University of Chicago,USA
Princeton University,USA
Cornell University,USA
Yale University,USA
California Institute of Technology,USA
University of Tokyo,Japan
University of Pennsylvania,USA
"University of California, Los Angeles",USA
Johns Hopkins University,USA
Kyoto University,Japan
New York University,USA
"University of Michigan, Ann Arbor",USA
Swiss Federal Institute of Technology in Zurich,Switzerland
"University of California, San Diego",USA
Northwestern University,USA
Hebrew University of Jerusalem,Israel
Seoul National University,South Korea
University of Wisconsin–Madison,USA
"University of California, San Francisco",USA
University College London,United Kingdom
Duke University,USA
Rockefeller University,USA
University of Texas at Austin,USA
University of Washington - Seattle,USA
University of Toronto,Canada
University of Illinois at Urbana–Champaign,USA
Keio University,Japan
Imperial College London,United Kingdom
École Polytechnique,France
École normale supérieure - Paris,France
Waseda University,Japan
Weizmann Institute of Science,Israel
University of North Carolina at Chapel Hill,USA
University of Virginia,USA
McGill University,Canada
"Purdue University, West Lafayette",USA
Dartmouth College,USA
Osaka University,Japan
University of Pittsburgh - Pittsburgh Campus,USA
"Pennsylvania State University, University Park",USA
"University of Minnesota, Twin Cities",USA
"Ohio State University, Columbus",USA
Rutgers University-New Brunswick,USA
University of Southern California,USA
Washington University in St. Louis,USA
"University of California, Davis",USA
University of Colorado Boulder,USA
University of Edinburgh,United Kingdom
Peking University,China
National Taiwan University,Taiwan
University of Paris-Sud,France
Lomonosov Moscow State University,Russia
University of Florida,USA
Carnegie Mellon University,USA
University of British Columbia,Canada
Pierre-and-Marie-Curie University,France
"University of California, Santa Barbara",USA
National University of Singapore,Singapore
Boston University,USA
University of Manchester,United Kingdom
University of Arizona,USA
Vanderbilt University,USA
University of Utah,USA
Karolinska Institute,Sweden
"University of Maryland, College Park",USA
Tohoku University,Japan
University of Copenhagen,Denmark
University of Texas Southwestern Medical Center,USA
Ruprecht Karl University of Heidelberg,Germany
University of Notre Dame,USA
Tsinghua University,China
Ludwig Maximilian University of Munich,Germany
Georgia Institute of Technology,USA
University of Rochester,USA
Katholieke Universiteit Leuven,Belgium
Brown University,USA
Emory University,USA
Erasmus University Rotterdam,Netherlands
Tel Aviv University,Israel
Utrecht University,Netherlands
University of Sydney,Australia
"University of California, Irvine",USA
University of Texas MD Anderson Cancer Center,USA
Swiss Federal Institute of Technology in Lausanne,Switzerland
University of Geneva,Switzerland
University of Melbourne,Australia
King's College London,United Kingdom
Tufts University,USA
University of Zurich,Switzerland
Arizona State University,USA
Yonsei University,South Korea
University of Oslo,Norway
Kyushu University,Japan
Technical University of Munich,Germany
"Texas A&M University, College Station",USA
University of Queensland,Australia
Mines ParisTech,France
Case Western Reserve University,USA
Indiana University - Bloomington,USA
University of Alberta,Canada
Leiden University,Netherlands
Tokyo Institute of Technology,Japan
University of Groningen,Netherlands
University of Helsinki,Finland
Sapienza University of Rome,Italy
Georgetown University,USA
University of Amsterdam,Netherlands
Korea University,South Korea
University of Barcelona,Spain
Lund University,Sweden
Michigan State University,USA
Ghent University,Belgium
Rice University,USA
Baylor College of Medicine,USA
Aarhus University,Denmark
University of Bristol,United Kingdom
Uppsala University,Sweden
Nagoya University,Japan
Royal Institute of Technology,Sweden
University of Colorado Denver,USA
University of Glasgow,United Kingdom
VU University Amsterdam,Netherlands
University of New South Wales,Australia
Paris Diderot University - Paris 7,France
University of São Paulo,Brazil
Western University (The University of Western Ontario),Canada
Radboud University Nijmegen,Netherlands
Nanyang Technological University,Singapore
Technion – Israel Institute of Technology,Israel
University of Miami,USA
Stony Brook University,USA
University of Texas at Dallas,USA
University of Nottingham,United Kingdom
University of Iowa,USA
Southern Methodist University,USA
Icahn School of Medicine at Mount Sinai,USA
Korea Advanced Institute of Science and Technology (KAIST),South Korea
Monash University,Australia
University of Alabama at Birmingham,USA
Free University of Berlin,Germany
University of Southampton,United Kingdom
University of the Witwatersrand,South Africa
McMaster University,Canada
University of Montreal,Canada
University of Birmingham,United Kingdom
Humboldt University of Berlin,Germany
"University of California, Santa Cruz",USA
Albert Ludwig University of Freiburg,Germany
University of Tübingen,Germany
University of Cincinnati,USA
University of Bonn,Germany
Wake Forest University,USA
University of Basel,Switzerland
University of Leeds,United Kingdom
University of Hamburg,Germany
Université libre de Bruxelles,Belgium
Indiana University-Purdue University Indianapolis,USA
Pohang University of Science and Technology,South Korea
Oregon Health & Science University,USA
University of Calgary,Canada
Stockholm University,Sweden
University of Padua,Italy
University of Hong Kong,Hong Kong
Yeshiva University,USA
University of Milan,Italy
University of Sheffield,United Kingdom
Technical University of Denmark,Denmark
"University of Maryland, Baltimore",USA
Goethe University Frankfurt,Germany
University of Göttingen,Germany
Hokkaido University,Japan
Australian National University,Australia
Shanghai Jiao Tong University,China
University of New Mexico,USA
University of Strasbourg,France
University of Massachusetts Medical School,USA
University of Houston,USA
"Trinity College, Dublin",Ireland
University of Lausanne,Switzerland
Iowa State University,USA
Joseph Fourier University,France
Wayne State University,USA
University of South Florida - Tampa,USA
Zhejiang University,China
Hanyang University,South Korea
University of Ottawa,Canada
University of Missouri–Columbia,USA
Fudan University,China
University of Kansas,USA
University of Cologne,Germany
University of Georgia,USA
University of Liverpool,United Kingdom
University of Bern,Switzerland
Cardiff University,United Kingdom
George Washington University,USA
University of Illinois at Chicago,USA
University of Erlangen-Nuremberg,Germany
University of Münster,Germany
Aix-Marseille University,France
Claude Bernard University Lyon 1,France
University of Bologna,Italy
Queen Mary University of London,United Kingdom
Dresden University of Technology,Germany
Sungkyunkwan University,South Korea
Newcastle University,United Kingdom
Karlsruhe Institute of Technology,Germany
"University of California, Riverside",USA
University of Kiel,Germany
University of Western Australia,Australia
Paris Descartes University,France
University of Connecticut,USA
University of Massachusetts Amherst,USA
Chinese University of Hong Kong,Hong Kong
University of Turin,Italy
University of Manitoba,Canada
University of Vienna,Austria
University of Montpellier,France
Maastricht University,Netherlands
National Cheng Kung University,Taiwan
"University of Tennessee, Knoxville",USA
Complutense University of Madrid,Spain
Laval University,Canada
RWTH Aachen University,Germany
Université catholique de Louvain,Belgium
North Carolina State University,USA
Johannes Gutenberg University of Mainz,Germany
University of Texas Health Science Center at San Antonio,USA
Julius-Maximilian's University of Würzburg,Germany
Paul Sabatier University - Toulouse III,France
University of Gothenburg,Sweden
University College Dublin,Ireland
University of Science and Technology of China,China
University of Leicester,United Kingdom
Autonomous University of Barcelona,Spain
University of Dundee,United Kingdom
Norwegian University of Science and Technology,Norway
Nanjing University,China
Okayama University,Japan
London School of Hygiene & Tropical Medicine,United Kingdom
University of Florence,Italy
University of Cape Town,South Africa
University of Texas Health Science Center at Houston,USA
Moscow Institute of Physics and Technology,Russia
University of Düsseldorf,Germany
Florida State University,USA
University of Sussex,United Kingdom
Thomas Jefferson University,USA
Delft University of Technology,Netherlands
Virginia Polytechnic Institute and State University,USA
University of Lisbon,Portugal
Drexel University,USA
Virginia Commonwealth University,USA
Oregon State University,USA
Durham University,United Kingdom
University of Tsukuba,Japan
University of Reading,United Kingdom
Lehigh University,USA
Medical University of Vienna,Austria
University of Auckland,New Zealand
University of Kentucky,USA
University of Naples Federico II,Italy
University of Waterloo,Canada
Charles University in Prague,Czech Republic
Colorado State University - Fort Collins,USA
Tulane University,USA
"University at Buffalo, The State University of New York",USA
Brandeis University,USA
Northeastern University,USA
Wageningen University and Research Centre,Netherlands
Sun Yat-sen University,China
University of Ulm,Germany
London School of Economics,United Kingdom
Vrije Universiteit Brussel,Belgium
University of Delaware,USA
Rensselaer Polytechnic Institute,USA
University of Bergen,Norway
Queen's University,Canada
University of Aberdeen,United Kingdom
Dalhousie University,Canada
Umeå University,Sweden
University of Duisburg-Essen,Germany
City College of New York,USA
Hiroshima University,Japan
University of Texas at San Antonio,USA
Hannover Medical School,Germany
University of Warwick,United Kingdom
University of Valencia,Spain
University of Pisa,Italy
Ruhr University Bochum,Germany
Medical College of Wisconsin,USA
University of Louisville,USA
University of Bordeaux,France
University of South Carolina - Columbia,USA
National and Kapodistrian University of Athens,Greece
Leipzig University,Germany
Medical University of South Carolina,USA
Autonomous University of Madrid,Spain
Dalian University of Technology,China
Stellenbosch University,South Africa
Kyungpook National University,South Korea
University of Porto,Portugal
University of St Andrews,United Kingdom
Gwangju Institute of Science and Technology,South Korea
Chulalongkorn University,Thailand
University of Antwerp,Belgium
Xiamen University,China
University of Nebraska–Lincoln,USA
Nankai University,China
University of Stuttgart,Germany
University of Rome Tor Vergata,Italy
University of Regensburg,Germany
Hong Kong University of Science and Technology,Hong Kong
Kobe University,Japan
University of Liège,Belgium
Federal University of Rio de Janeiro,Brazil
Rush University,USA
University of Vermont,USA
University of York,United Kingdom
Boston College,USA
University of Pavia,Italy
University of Jena,Germany
Vita-Salute San Raffaele University,Italy
University of Genoa,Italy
Tianjin University,China
Louisiana State University - Baton Rouge,USA
University of Exeter,United Kingdom
National Autonomous University of Mexico,Mexico
University of Adelaide,Australia
University of East Anglia,United Kingdom
York University,Canada
University of Navarra,Spain
University of Oregon,USA
"St George's, University of London",United Kingdom
Indian Institute of Technology Delhi,India
University of Trieste,Italy
Queen's University Belfast,United Kingdom
University of Perugia,Italy
Technical University of Berlin,Germany
University of Marburg,Germany
University of Innsbruck,Austria
Eindhoven University of Technology,Netherlands
Ben-Gurion University of the Negev,Israel
University of Oklahoma - Norman Campus,USA
Wesleyan University,USA
University of Victoria,Canada
Kansas State University,USA
Hong Kong Polytechnic University,Hong Kong
Linköping University,Sweden
University of Southern Denmark,Denmark
University of Otago,New Zealand
Justus Liebig University Giessen,Germany
University of New Hampshire,USA
College of William and Mary,USA
San Diego State University,USA
Simon Fraser University,Canada
University of Santiago de Compostela,Spain
Saint Louis University,USA
Colorado School of Mines,USA
University of Eastern Finland,Finland
University of Buenos Aires,Argentina
University of Guelph,Canada
University of Ferrara,Italy
Polytechnic University of Catalonia,Spain
Versailles Saint-Quentin-en-Yvelines University,France
Saarland University,Germany
City University of Hong Kong,Hong Kong
Darmstadt University of Technology,Germany
Pompeu Fabra University,Spain
Pontifical Catholic University of Chile,Chile
University of Bari Aldo Moro,Italy
University of Texas Medical Branch at Galveston,USA
University of Delhi,India
"Washington State University, Pullman",USA
Temple University,USA
University of Milan - Bicocca,Italy
University of Turku,Finland
Chonnam National University,South Korea
University of Lorraine,France
National Chiao Tung University,Taiwan
Catholic University of the Sacred Heart,Italy
"University at Albany, SUNY",USA
Xi'an Jiaotong University,China
Ewha Womans University,South Korea
Jilin University,China
Tokyo Medical and Dental University,Japan
Scuola Normale Superiore di Pisa,Italy
University of Central Florida,USA
Innsbruck Medical University,Austria
Beijing Normal University,China
Polytechnic University of Milan,Italy
University of Seville,Spain
University of Nebraska Medical Center,USA
Huazhong University of Science and Technology,China
Kyung Hee University,South Korea
Chalmers University of Technology,Sweden
Brigham Young University,USA
University of Campinas,Brazil
University of Bath,United Kingdom
Saint Petersburg State University,Russia
National Tsing Hua University,Taiwan
University of Twente,Netherlands
University of Alabama - Tuscaloosa,USA
Harbin Institute of Technology,China
University of Verona,Italy
Oklahoma State University–Stillwater,USA
Shandong University,China
George Mason University,USA
Wuhan University,China
Swedish University of Agricultural Sciences,Sweden
Concordia University,Canada
Chiba University,Japan
Kumamoto University,Japan
Tongji University,China
Aalto University,Finland
Chonbuk National University,South Korea
Peking Union Medical College,China
Georgia Regents University,USA
University of Chile,Chile
Lancaster University,United Kingdom
Vienna University of Technology,Austria
University of Denver,USA
University of Arkansas for Medical Sciences,USA
Grenoble Institute of Technology,France
University of Granada,Spain
University of Modena and Reggio Emilia,Italy
Ajou University,South Korea
Gyeongsang National University,South Korea
Technical University of Madrid,Spain
University College Cork,Ireland
Loyola University Chicago,USA
Central South University,China
South China University of Technology,China
Polytechnic University of Valencia,Spain
West Virginia University,USA
University of Tampere,Finland
Southeast University,China
Miami University,USA
University of Dayton,USA
University of Siena,Italy
University of Oulu,Finland
Indian Institute of Science,India
Macquarie University,Australia
University of Rostock,Germany
Jagiellonian University,Poland
Pusan National University,South Korea
University of Strathclyde,United Kingdom
"University of Nevada, Reno",USA
University of Saskatchewan,Canada
University of Parma,Italy
Kanazawa University,Japan
Eötvös Loránd University,Hungary
Aristotle University of Thessaloniki,Greece
Ohio University,USA
University of Iceland,Iceland
University of Warsaw,Poland
Syracuse University,USA
Bielefeld University,Germany
Juntendo University,Japan
University of Wyoming,USA
University of Wollongong,Australia
Niigata University,Japan
Texas Tech University (TTU),USA
Middle East Technical University,Turkey
École normale supérieure de Lyon,France
Brunel University,United Kingdom
Nihon University,Japan
Osaka City University,Japan
University of Rennes 1,France
University of Oklahoma Health Sciences Center,USA
East China University of Science and Technology,China
University of KwaZulu-Natal,South Africa
Sichuan University,China
Illinois Institute of Technology,USA
Tokyo University of Science,Japan
"University of Science, Malaysia",Malaysia
Clemson University,USA
University of Zaragoza,Spain
University of the Basque Country,Spain
Nagasaki University,Japan
Technical University of Dortmund,Germany
University of Hawaii at Manoa,USA
University of Nebraska Omaha,USA
University of Konstanz,Germany
Panjab University,India
University of Hanover,Germany
"University of Maryland, Baltimore County",USA
University of Newcastle,Australia
University of Ulsan,South Korea
Renmin University of China,China
Martin Luther University of Halle-Wittenberg,Germany
University of Malaya,Malaysia
University of Savoy,France
University of Udine,Italy
Tokyo Metropolitan University,Japan
University of Sherbrooke,Canada
University of Brescia,Italy
University of Ljubljana,Slovenia
University of Nice Sophia Antipolis,France
University of Hull,United Kingdom
University of Coimbra,Portugal
Creighton University,USA
Georgia State University,USA
University of Wisconsin–Milwaukee,USA
Catholic University of Korea,South Korea
University of Tokushima,Japan
Yokohama City University,Japan
Lanzhou University,China
University of Crete,Greece
SUNY Downstate Medical Center,USA
University of Potsdam,Germany
Yokohama National University,Japan
New Mexico State University,USA
University of Bayreuth,Germany
Bar-Ilan University,Israel
University of Mississippi - Oxford Campus,USA
University of Tasmania,Australia
Graduate University for Advanced Studies,Japan
University of Surrey,United Kingdom
Federal University of Minas Gerais,Brazil
University of Tromsø - The Arctic University of Norway,Norway
University of Palermo,Italy
Shinshu University,Japan
University of Science and Technology Beijing,China
University of Catania,Italy
Mahidol University,Thailand
University of Canterbury,New Zealand
Indian Institute of Technology Madras,India
University of Bremen,Germany
Otto-von-Guericke University Magdeburg,Germany
University of Tartu,Estonia
University of Windsor,Canada
University of Nantes,France
"Royal Holloway, University of London",United Kingdom
James Cook University,Australia
National Yang-Ming University,Taiwan
University of Akron,USA
National Chung Hsing University,Taiwan
City University London,United Kingdom
New York Medical College,USA
Nara Institute of Science and Technology,Japan
École Centrale Paris,France
Auburn University,USA
University of Arkansas - Fayetteville,USA
University of Zagreb,Croatia
University of Lübeck,Germany
Hunan University,China
University of Missouri–Kansas City,USA
Tokyo Women's Medical University,Japan
Montana State University - Bozeman,USA
University of Aveiro,Portugal
"National University of Ireland, Galway",Ireland
University of Oviedo,Spain
Dongguk University,South Korea
University of Trento,Italy
University Lille 1: Sciences and Technologies,France
Chang Gung University,Taiwan
National Central University,Taiwan
Aalborg University,Denmark
Utah State University,USA
Baylor University,USA
Bangor University,United Kingdom
King Saud University,Saudi Arabia
University of Cagliari,Italy
Kent State University,USA
Central China Normal University,China
University of Fribourg,Switzerland
Medical University of Graz,Austria
Second University of Naples,Italy
International School for Advanced Studies,Italy
Tampere University of Technology,Finland
Inha University,South Korea
Deakin University,Australia
National Polytechnic Institute of Toulouse,France
Sogang University,South Korea
University of Ioannina,Greece
Federal University of Rio Grande do Sul,Brazil
University of Graz,Austria
University of Montana - Missoula,USA
East China Normal University,China
Plymouth University,United Kingdom
Victoria University of Wellington,New Zealand
Federal University of São Paulo,Brazil
Southern Illinois University Carbondale,USA
University of Alaska Fairbanks,USA
University of Toledo,USA
Carleton University,Canada
Cranfield University,United Kingdom
Curtin University,Australia
Indian Institute of Technology Bombay,India
University of Portsmouth,United Kingdom
Osaka Prefecture University,Japan
Nagoya City University,Japan
LSU Health Sciences Center New Orleans,USA
Tata Institute of Fundamental Research,India
Konkuk University,South Korea
University of La Laguna,Spain
University of Hertfordshire,United Kingdom
Florida International University,USA
University of Rhode Island,USA
Mississippi State University,USA
Gunma University,Japan
University of New Orleans,USA
"Putra University, Malaysia",Malaysia
Memorial University of Newfoundland,Canada
Universidade Nova de Lisboa,Portugal
Griffith University,Australia
Indian Institute of Technology Kharagpur,India
Soochow University (Suzhou),China
Texas A&M Health Science Center,USA
Semmelweis University,Hungary
Lille 2 University of Health and Law,France
Kagoshima University,Japan
Flinders University,Australia
Queensland University of Technology,Australia
Tokai University,Japan
Istanbul University,Turkey
Tokyo University of Agriculture and Technology,Japan
Louisiana Tech University,USA
University of Texas at Arlington,USA
China Agricultural University,China
Chungnam National University,South Korea
University of Minho,Portugal
"University of Eastern Piedmont Amedeo Avogadro""""",Italy
Open University (UK),United Kingdom
University of Essex,United Kingdom
Paris-Est Créteil Val-de-Marne University,France
Hacettepe University,Turkey
State University of New York Upstate Medical University,USA
Braunschweig University of Technology,Germany
University of Salamanca,Spain
Indian Institute of Technology Roorkee,India
Örebro University,Sweden
Northeast Normal University,China
University of Patras,Greece
Beijing University of Chemical Technology,China
Northern Illinois University,USA
Rovira i Virgili University,Spain
La Trobe University,Australia
Warsaw University of Technology,Poland
Binghamton University,USA
Shizuoka University,Japan
Hong Kong Baptist University,Hong Kong
Albany Medical College,USA
Ehime University,Japan
University of Los Andes (Colombia),Colombia
Polytechnic University of Turin,Italy
University of Burgundy,France
University of Idaho,USA
Old Dominion University,USA
Yamaguchi University,Japan
Massey University,New Zealand
Donghua University,China
University of the Balearic Islands,Spain
Portland State University,USA
Marche Polytechnic University,Italy
University of Québec at Montreal,Canada
"UNESP, São Paulo State University",Brazil
Loma Linda University,USA
University of Toyama,Japan
University of Debrecen,Hungary
"University of Maine, Orono",USA
Graz University of Technology,Austria
Gifu University,Japan
University of Jyväskylä,Finland
University of Paris 13,France
University of Girona,Spain
Keele University,United Kingdom
University of Poitiers,France
University of Insubria,Italy
Wuhan University of Technology,China
University of Pretoria,South Africa
Banaras Hindu University,India
University of L'Aquila,Italy
University of Alicante,Spain
American University of Beirut,Lebanon
University of Ulster,United Kingdom
Shanghai University,China
Comenius University in Bratislava,Slovak Republic
University of Vigo,Spain
"University of Nevada, Las Vegas",USA
Swinburne University of Technology,Australia
Tilburg University,Netherlands
University of Messina,Italy
Kaiserslautern University of Technology,Germany
University of Kent,United Kingdom
University of Málaga,Spain
Loughborough University,United Kingdom
National Technical University of Athens,Greece
Liverpool John Moores University,United Kingdom
Sharif University of Technology,Iran
"Birkbeck, University of London",United Kingdom
"University François Rabelais, Tours",France
University of Haifa,Israel
Roma Tre University,Italy
Masaryk University,Czech Republic
University of Salerno,Italy
King Abdullah University of Science and Technology,Saudi Arabia
Beihang University,China
Fuzhou University,China
Heriot-Watt University,United Kingdom
China Medical University (Taiwan),Taiwan
University of Cantabria,Spain
Rochester Institute of Technology,USA
Royal College of Surgeons in Ireland,Ireland
San Francisco State University,USA
Sapporo Medical University,Japan
Indian Institute of Technology Kanpur,India
Johannes Kepler University of Linz,Austria
Czech Technical University in Prague,Czech Republic
Marquette University,USA
Missouri University of Science and Technology,USA
Howard University,USA
Aston University,United Kingdom
École normale supérieure de Cachan,France
Jichi Medical University,Japan
"Rutgers, The State University of New Jersey - Newark",USA
"Palacký University, Olomouc",Czech Republic
Ankara University,Turkey
University of Belgrade,Serbia
Toho University,Japan
Kyoto Prefectural University of Medicine,Japan
Swansea University,United Kingdom
Université de Namur,Belgium
University of Szeged,Hungary
Kitasato University,Japan
Hasselt University,Belgium
University of Córdoba (Spain),Spain
Åbo Akademi University,Finland
Tottori University,Japan
Kindai University,Japan
University of Castilla–La Mancha,Spain
University of Augsburg,Germany
"Paul Valéry University, Montpellier III",France
University of Mons,Belgium
Istanbul Technical University,Turkey
"University of Natural Resources and Life Sciences, Vienna",Austria
National University of La Plata,Argentina
University of Calabria,Italy
University of Memphis,USA
"G. d'Annunzio University, Chieti-Pescara",Italy
University of Missouri–St. Louis,USA
Beijing Institute of Technology,China
University of Évry Val d'Essonne,France
University of South Australia,Australia
University of Alabama in Huntsville,USA
University of Salzburg,Austria
University of Mississippi Medical Center,USA
National Research Nuclear University MEPhI,Russia
Chung-Ang University,South Korea
Kaohsiung Medical University,Taiwan
University of Neuchâtel,Switzerland
University of Yamanashi,Japan
Yamagata University,Japan
New Jersey Institute of Technology,USA
East Carolina University,USA
University of Hyogo,Japan
University of Picardie Jules Verne,France
University of Salento,Italy
Northern Arizona University,USA
Miguel Hernández University of Elche,Spain
University of Tehran,Iran
Blaise Pascal University,France
Yeungnam University,South Korea
Kurume University,Japan
Institut national des sciences Appliquées de Lyon,France
Saga University,Japan
Chongqing University,China
Jikei University School of Medicine,Japan
Second Military Medical University,China
Jawaharlal Nehru Centre for Advanced Scientific Research,India
"University of North Texas, Denton",USA
Ege University,Turkey
Mie University,Japan
École Polytechnique de Montréal,Canada
AGH University of Science and Technology,Poland
University of Electronic Science and Technology of China,China
University of Stirling,United Kingdom
University of Greifswald,Germany
National Polytechnic Institute,Mexico
Jacobs University Bremen,Germany
Capital Medical University,China
Norwegian University of Life Sciences,Norway
Michigan Technological University,USA
Vilnius University,Lithuania
North Dakota State University - Main Campus,USA
University of Hohenheim,Germany
University of North Carolina at Charlotte,USA
Zhengzhou University,China
Cairo University,Egypt
University of Caen Lower Normandy,France
Saitama Medical University,Japan
University of Murcia,Spain
Showa University,Japan
University of Oldenburg,Germany
Magna Græcia University of Catanzaro,Italy
National Sun Yat-sen University,Taiwan
Nanjing University of Science and Technology,China
University of Concepción,Chile
Chungbuk National University,South Korea
Taipei Medical University,Taiwan
Jaume I University,Spain
Bowling Green State University,USA
Nanjing University of Technology,China
University of New England (Australia),Australia
Kangwon National University,South Korea
Inje University,South Korea
Aberystwyth University,United Kingdom
"University of Technology, Sydney",Australia
University of Franche-Comté,France
University of Sassari,Italy
Chiang Mai University,Thailand
Budapest University of Technology and Economics,Hungary
University of Maribor,Slovenia
University of Bradford,United Kingdom
University of Perpignan Via Domitia,France
Florida Institute of Technology,USA
University of Brighton,United Kingdom
University of Massachusetts Boston,USA
Rio de Janeiro State University,Brazil
Nagoya Institute of Technology,Japan
Jiangnan University,China
Murdoch University,Australia
"University of Wales, Trinity Saint David",United Kingdom
University of Rouen,France
The Catholic University of America,USA
Wright State University - Dayton,USA
Dankook University,South Korea
Clarkson University,USA
University of Regina,Canada
Boğaziçi University,Turkey
Kōchi University,Japan
University of Miyazaki,Japan
University of Electro-Communications,Japan
University of Valladolid,Spain
Bilkent University,Turkey
Dublin City University,Ireland
University of South Alabama,USA
Sofia University,Bulgaria
Ocean University of China,China
King Fahd University of Petroleum and Minerals,Saudi Arabia
University of Veterinary Medicine Vienna,Austria
University of Alcalá,Spain
Hunter College,USA
"All India Institute of Medical Sciences, New Delhi",India
Gazi University,Turkey
"National University of Ireland, Maynooth",Ireland
Tehran University of Medical Sciences,Iran
University of the Ryukyus,Japan
Florida Atlantic University,USA
University of Siegen,Germany
Huazhong Agricultural University,China
University of Angers,France
University of Seoul,South Korea
Brock University,Canada
Fukuoka University,Japan
Hamamatsu University School of Medicine,Japan
Nanjing Normal University,China
National Chung Cheng University,Taiwan
Nanjing Agricultural University,China
